satellite,hour,hour_local,el,az,stec_absolute,vtec
G09,5.5625,20.5625,89.1924,102.4417,10.7673,10.7663
G09,5.5667,20.5667,89.0839,99.2500,10.7617,10.7605
G09,5.5708,20.5708,88.9730,96.7538,10.7541,10.7526
G09,5.5750,20.5750,88.8606,94.7592,10.7054,10.7035
G09,5.5792,20.5792,88.7469,93.1358,10.6781,10.6759
G09,5.5833,20.5833,88.6323,91.7937,10.6584,10.6557
G09,5.5875,20.5875,88.5171,90.6691,10.6106,10.6075
G09,5.5917,20.5917,88.4013,89.7160,10.6071,10.6035
G09,5.5958,20.5958,88.2851,88.9002,10.6064,10.6023
G09,5.6000,20.6000,88.1686,88.1958,10.6125,10.6078
G09,5.6042,20.6042,88.0518,87.5832,10.6199,10.6146
G09,5.6083,20.6083,87.9347,87.0470,10.6153,10.6093
G09,5.6125,20.6125,87.8175,86.5749,10.6463,10.6396
G09,5.6167,20.6167,87.7001,86.1572,10.7079,10.7004
G09,5.6208,20.6208,87.5825,85.7861,10.7431,10.7347
G09,5.6250,20.6250,87.4649,85.4552,10.7554,10.7462
G09,5.6292,20.6292,87.3472,85.1590,10.7795,10.7694
G09,5.6333,20.6333,87.2293,84.8933,10.8249,10.8138
G09,5.6375,20.6375,87.1115,84.6543,10.8853,10.8732
G09,5.6417,20.6417,86.9935,84.4388,10.9663,10.9531
G09,5.6458,20.6458,86.8755,84.2443,10.9910,10.9768
G09,5.6500,20.6500,86.7574,84.0684,10.9868,10.9715
G09,5.6542,20.6542,86.6393,83.9091,11.0131,10.9966
G09,5.6583,20.6583,86.5212,83.7649,11.0015,10.9838
G09,5.6625,20.6625,86.4031,83.6342,11.0189,11.0000
G09,5.6667,20.6667,86.2849,83.5157,11.0511,11.0308
G09,5.6708,20.6708,86.1667,83.4084,11.0489,11.0273
G09,5.6750,20.6750,86.0485,83.3111,11.0597,11.0368
G09,5.6792,20.6792,85.9302,83.2231,11.0519,11.0276
G09,5.6833,20.6833,85.8120,83.1435,11.0422,11.0165
G09,5.6875,20.6875,85.6937,83.0716,11.0773,11.0500
G09,5.6917,20.6917,85.5754,83.0069,11.0695,11.0408
G09,5.6958,20.6958,85.4572,82.9488,11.0488,11.0185
G09,5.7000,20.7000,85.3389,82.8967,11.0214,10.9896
G09,5.7042,20.7042,85.2206,82.8503,11.0247,10.9912
G09,5.7083,20.7083,85.1023,82.8091,11.0081,10.9731
G09,5.7125,20.7125,84.9840,82.7728,11.0188,10.9820
G09,5.7167,20.7167,84.8657,82.7409,11.0220,10.9834
G09,5.7208,20.7208,84.7474,82.7133,11.0453,11.0048
G09,5.7250,20.7250,84.6291,82.6896,11.0747,11.0323
G09,5.7292,20.7292,84.5109,82.6696,11.1106,11.0661
G09,5.7333,20.7333,84.3926,82.6530,11.1302,11.0838
G09,5.7375,20.7375,84.2743,82.6397,11.1238,11.0754
G09,5.7417,20.7417,84.1560,82.6294,11.1464,11.0959
G09,5.7458,20.7458,84.0378,82.6220,11.0997,11.0473
G09,5.7500,20.7500,83.9195,82.6172,11.1042,11.0497
G09,5.7542,20.7542,83.8012,82.6150,11.0980,11.0414
G09,5.7583,20.7583,83.6830,82.6152,11.0619,11.0033
G09,5.7625,20.7625,83.5648,82.6176,11.0108,10.9503
G09,5.7667,20.7667,83.4465,82.6222,10.9563,10.8939
G09,5.7708,20.7708,83.3283,82.6288,10.9457,10.8810
G09,5.7750,20.7750,83.2101,82.6374,10.9265,10.8597
G09,5.7792,20.7792,83.0919,82.6477,10.9452,10.8759
G09,5.7833,20.7833,82.9737,82.6598,10.9954,10.9234
G09,5.7875,20.7875,82.8555,82.6735,11.0182,10.9436
G09,5.7917,20.7917,82.7373,82.6888,11.0292,10.9520
G09,5.7958,20.7958,82.6192,82.7056,11.0599,10.9800
G09,5.8000,20.8000,82.5010,82.7238,11.0759,10.9933
G09,5.8042,20.8042,82.3829,82.7434,11.1296,11.0439
G09,5.8083,20.8083,82.2648,82.7642,11.1206,11.0324
G09,5.8125,20.8125,82.1466,82.7863,11.1318,11.0408
G09,5.8167,20.8167,82.0285,82.8096,11.1621,11.0680
G09,5.8208,20.8208,81.9105,82.8339,11.1684,11.0715
G09,5.8250,20.8250,81.7924,82.8594,11.2222,11.1220
G09,5.8292,20.8292,81.6743,82.8859,11.2834,11.1797
G09,5.8333,20.8333,81.5563,82.9134,11.2966,11.1898
